System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,outrun,Out Run,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1986,1,analog,1,SEGA,,pedal / paddle,SEGA,,,,#N/A
arcade,outzone,Out Zone,x,x,x,x,x,,,,,VERTICAL,1990,2,8 way,3,Toaplan,joy8way,,Toaplan,,,,#N/A
arcade,p47,P-47 1 : The Phantom Fighter,x,,x,x,,,,,,HORIZONTAL,1988,2,8 way,2,Other,joy8way,,Jaleco,,,,#N/A
arcade,p47aces,P-47 2 Aces,x,x,x,x,x,,,,,HORIZONTAL,1995,2,8 way,5,Other,joy8way,,Jaleco,,,,#N/A
arcade,pacland,Pac-Land,x,x,x,x,x,,,,,HORIZONTAL,1984,2,4 way,3,Namco,,only_buttons,Namco,,,,#N/A
arcade,pacman,Pac-Man,x,x,x,x,x,x,MINI,x,x,VERTICAL,1980,2,4 way,0,Midway,joy4way,,Namco / Midway license,,,,#N/A
arcade,pacmania,Pac-Mania,x,x,x,x,,,,,,VERTICAL,1987,2,8 way,3,Namco,joy8way,,Namco,,,,#N/A
arcade,pang,Pang,,x,x,x,,,,,,HORIZONTAL,1989,2,4 way,2,Other,joy4way,,Mitchell,,,,#N/A
arcade,paperboy,Paperboy,x,x,x,x,x,,,,,HORIZONTAL,1984,1,analog,2,Atari,,stick,Atari Games / Atari,,,,#N/A
arcade,parodius,Parodius DA!,,x,x,x,,,,,,HORIZONTAL,1990,2,8 way,3,Konami,joy8way,,Konami,,,,#N/A
arcade,pbobble,Puzzle Bobble 1,x,x,x,x,x,x,x,x,,HORIZONTAL,1994,4,8 way,3,Taito,joy8way,,Taito,,,,#N/A
arcade,pbobble2,Puzzle Bobble 2,,x,x,x,,,,,,HORIZONTAL,1995,4,8 way,4,Taito,joy8way,dial,Taito,,,,#N/A
arcade,pbobble3,Puzzle Bobble 3,,x,x,x,,,,,,HORIZONTAL,1996,4,8 way,4,Taito,joy8way,dial,Taito,,,,#N/A
arcade,pbobble4,Puzzle Bobble 4,x,x,x,x,,,,,,HORIZONTAL,1997,4,8 way,4,Taito,joy8way,dial,Taito,,,,#N/A
arcade,pdrift,Power Drift,x,x,x,x,x,x,x,x,,HORIZONTAL,1988,1,analog,1,SEGA,,pedal / paddle,SEGA,,,,#N/A
arcade,pengo,Pengo,x,x,x,x,x,x,MINI,x,x,VERTICAL,1982,2,4 way,1,SEGA,joy4way,,SEGA,,,,#N/A
arcade,peterpak,Peter Pack Rat,,x,x,x,,,,,,HORIZONTAL,1984,1,8 way,2,Atari,joy8way,,Atari Games,,,,#N/A
arcade,phoenix,Phoenix,x,x,x,x,x,x,MINI,x,x,VERTICAL,1980,2,4 way,2,Other,joy2way,,Amstar / Centuri,,,,#N/A
arcade,pinkswts,Pink Sweets: Ibara Sorekara,x,x,x,x,,,,,,VERTICAL,2006,2,8 way,4,Cave,joy8way,,Cave / AMI license,,,,#N/A
arcade,pirates,Pirates,,x,x,x,,,,,,HORIZONTAL,1994,2,8 way,3,Other,joy8way,,NIX,,,,#N/A
arcade,pitfall2,Pitfall 2,,x,x,x,,,,,,HORIZONTAL,1985,2,8 way,2,SEGA,joy8way,,SEGA,,,,#N/A
arcade,pitfight,Pit Fighter,,,x,x,,,,,,HORIZONTAL,1990,3,8 way,3,Atari,joy8way,,Atari Games / Atari,,,,#N/A
arcade,pleiads,Pleiads,x,x,x,x,x,,x,,,VERTICAL,1981,2,4 way,1,Other,joy2way,,Tehkan / Tehkan Ltd.,,,,#N/A
arcade,polepos2,Pole Position 2,,x,x,x,,,,,,HORIZONTAL,1983,1,analog,1,Namco,,pedal / dial,Namco,,,,#N/A
arcade,pooyan,Pooyan,x,x,x,x,x,x,x,x,,VERTICAL,1982,2,4 way,1,Konami,joyvertical2way,,Konami / bootleg,,,,#N/A
arcade,popeye,Popeye,x,x,x,x,x,,,,,HORIZONTAL,1982,2,4 way,1,Nintendo,joy4way,,Nintendo,,,,#N/A
arcade,poundfor,Pound for Pound,x,,x,x,,,,,,VERTICAL,1990,2,trackball,2,Irem,,trackball,Irem,,,,#N/A
arcade,pow,P.O.W.: Prisoners of War,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1988,2,8 way,3,SNK,joy8way,,SNK,,,,#N/A
arcade,prehisle,Prehistoric Isle 1 in 1930,x,,x,x,,,,,,HORIZONTAL,1989,2,8 way,3,SNK,joy8way,,SNK,,,,#N/A
arcade,preisle2,Prehistoric Isle 2,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,1999,2,8 way,4,Neo Geo,joy8way,,Yumekobo / Saurus,,,,#N/A
arcade,primrage,Primal Rage,x,x,x,x,x,,,,,HORIZONTAL,1994,2,8 way,4,Atari,joy8way,,Atari Games,,,,#N/A
arcade,progear,Progear,x,x,x,x,x,x,x,x,,HORIZONTAL,2001,2,8 way,3,Capcom,joy8way,,Cave / Capcom,,,,#N/A
arcade,psychic5,Psychic 5,x,x,x,x,,,,,,VERTICAL,1987,2,8 way,2,Other,joy8way,,Jaleco / NMK,,,,#N/A
arcade,psychos,Psycho Soldier,x,x,x,x,x,,x,,,HORIZONTAL,1987,2,8 way,2,SNK,joy8way,,SNK,,,,#N/A
arcade,pulstar,Pulstar,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,Aicom / SNK,,,,#N/A
arcade,punchout,Punch-Out!!,x,x,x,x,x,,x,,,VERTICAL,1984,1,4 way,3,Nintendo,joy4way,,Nintendo,,,,#N/A
arcade,punisher,"Punisher, The",x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1993,2,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,puzzli2,Puzzli 2,,x,x,x,,,,,,HORIZONTAL,1999,4,8 way,4,Other,joy8way,,IGS / Metro license,,,,#N/A
arcade,qbert,Q*bert,x,x,x,x,x,x,MINI,x,x,VERTICAL,1982,2,8 way,0,Other,joy8way,,Gottlieb / D. Gottlieb & Co.,,,,#N/A
arcade,qix,Qix,x,x,x,x,,,,,,VERTICAL,1981,2,4 way,2,Taito,joy4way,,Taito,,,,#N/A
arcade,quartet2,Quartet 2,x,x,x,x,x,,x,,,HORIZONTAL,1986,2,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,rackemup,Rack 'em Up,,x,x,x,,,,,,VERTICAL,1987,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,radm,Rad Mobile,,x,x,x,,,,,,HORIZONTAL,1990,1,analog,2,SEGA,,pedal / paddle,SEGA,,,,#N/A
arcade,raiden,Raiden 1,x,x,x,x,x,,,,,VERTICAL,1990,2,8 way,2,Other,joy8way,,Seibu Kaihatsu / Fabtek,,,,#N/A
arcade,raidendx,Raiden 2 DX,x,x,x,x,x,,,,,VERTICAL,1994,2,8 way,3,Other,joy8way,,Seibu Kaihatsu,,,,#N/A
arcade,rallyx,Rally X,x,x,x,x,x,x,x,x,,HORIZONTAL,1980,2,4 way,1,Namco,joy4way,,Namco,,,,#N/A
arcade,rambo3,Rambo 3,,x,x,x,,,,,,HORIZONTAL,1989,2,trackball,2,Taito,joy8way,trackball,Taito,,,,#N/A
arcade,rampage,Rampage 1,x,x,x,x,x,,x,,,HORIZONTAL,1986,3,8 way,2,Midway,joy8way,,Bally Midway / Barcrest / Red Gaming,,,,#N/A
arcade,rampart2p,Rampart,,x,x,x,,,,,,HORIZONTAL,1990,3,8 way,2,Atari,joy8way,,Atari Games,,,,#N/A
arcade,rastsaga,Rastan Saga,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,2,Taito,joy8way,,Taito,,,,#N/A
arcade,raveracw,Rave Racer,x,x,x,x,x,x,x,x,,HORIZONTAL,1995,1,8 way,4,Namco,joy8way,pedal / paddle,Namco,,,,#N/A
arcade,rbffspec,Real Bout Fatal Fury Special,x,x,x,x,x,,x,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,rbisland,Rainbow Islands,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,4 way,2,Taito,joy2way,,Taito,,,,#N/A
arcade,rdft,Raiden Fighters 1,x,x,x,x,x,x,x,x,x,VERTICAL,1996,2,8 way,3,Other,joy8way,,Seibu Kaihatsu / Tuning license,,,,#N/A
arcade,rdft2,Raiden Fighters 2: Operation Hell Dive,x,x,x,x,x,,,,,VERTICAL,1997,2,8 way,2,Other,joy8way,,Seibu Kaihatsu / Tuning license,,,,#N/A
arcade,redearth,Red Earth,x,x,x,x,x,,,,,HORIZONTAL,1996,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,renegade,Renegade,x,x,x,x,x,x,x,x,,HORIZONTAL,1986,2,8 way,3,Technos,joy8way,,Technos Japan / Taito,,,,#N/A
arcade,rezon,Rezon,,x,x,x,,,,,,HORIZONTAL,1991,2,8 way,3,Other,joy8way,,Allumer,,,,#N/A
arcade,rfjet,Raiden Fighters 3 Jet,x,x,x,x,x,x,MINI,x,x,VERTICAL,1998,2,8 way,2,Other,joy8way,,Seibu Kaihatsu / Tuning license,,,,#N/A
arcade,ridgera2,Ridge Racer 2,,x,x,x,,,,,,HORIZONTAL,1994,1,8 way,3,Namco,joy8way,pedal / paddle,Namco,,,,#N/A
arcade,ridgerac,Ridge Racer 1,x,x,x,x,x,x,x,x,,HORIZONTAL,1993,1,8 way,3,Namco,joy8way,pedal / paddle,Namco,,,,#N/A
arcade,ringdest,Ring of Destruction: Slammasters 2,x,x,x,x,x,x,x,x,,HORIZONTAL,1994,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,riot,Riot,,,x,x,,,,,,HORIZONTAL,1992,2,8 way,3,Other,joy8way,,NMK,,,,#N/A
arcade,rmpgwt,Rampage 2 : World Tour,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1997,3,8 way,3,Midway,joy8way,,Midway / Game Refuge Inc.,,,,#N/A
arcade,roadblst,Road Blasters,x,x,x,x,x,x,x,x,x,HORIZONTAL,1987,1,analog,3,Atari,,pedal / stick,Atari Games,,,,#N/A
arcade,roadf,Road Fighter,x,x,x,x,,,,,,VERTICAL,1984,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,roadrunn,Road Runner,,x,x,x,,,,,,HORIZONTAL,1985,1,analog,2,Atari,,stick,Atari Games,,,,#N/A
arcade,roboarmy,Robo Army,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,robocop,Robocop 1,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1988,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,robocop2,Robocop 2,,x,x,x,,,,,,HORIZONTAL,1991,2,8 way,3,Data East,joy8way,,Data East,,,,#N/A
arcade,robotron,Robotron: 2084,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1982,1,twin stick,0,Williams,doublejoy8way,,Williams / Vid Kidz,,,,#N/A
arcade,rocnrope,Roc'n Rope,x,x,x,x,x,x,x,x,,VERTICAL,1983,2,4 way,2,Konami,joy4way,,Konami,,,,#N/A
arcade,rodland,Rod-Land,,x,x,x,,,,,,HORIZONTAL,1990,2,8 way,2,Other,joy8way,,Jaleco,,,,#N/A
arcade,rotd,Rage of the Dragons,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,2002,2,8 way,4,Neo Geo,joy8way,,Evoga / Playmore,,,,#N/A
arcade,rpunch,Rabbit Punch,x,x,x,x,x,x,x,x,x,HORIZONTAL,1987,2,8 way,2,Midway,joy8way,,V-System Co. / Bally/Midway/Sente license,,,,#N/A
arcade,rsgun,Radiant Silvergun,,x,x,x,,,,,,HORIZONTAL,1998,4,8 way,4,Other,joy8way,,Treasure,,,,#N/A
arcade,rthun2,Rolling Thunder 2,,x,x,x,,,,,,HORIZONTAL,1990,2,8 way,3,Namco,joy8way,,Namco,,,,#N/A
arcade,rthunder,Rolling Thunder 1,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1986,2,4 way,2,Namco,joy4way,,Namco,,,,#N/A
arcade,rtype,R-Type 1,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,4,Irem,joy8way,,Irem,,,,#N/A
arcade,rtype2,R-Type 2,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1989,2,8 way,4,Irem,joy8way,,Irem,,,,#N/A
arcade,rtypeleo,R-Type 3 Leo,x,x,x,x,x,,,,,HORIZONTAL,1992,2,8 way,2,Irem,joy8way,,Irem,,,,#N/A
arcade,rungun,Run & Gun 1,,x,x,x,,,,,,HORIZONTAL,1993,4,8 way,3,Konami,joy8way,,Konami,,,,#N/A
arcade,rungun2,Run & Gun 2,,x,x,x,,,,,,HORIZONTAL,1996,4,8 way,3,Konami,joy8way,,Konami,,,,#N/A
arcade,rvschool,Rival Schools: United By Fate,,x,x,x,,,,,,HORIZONTAL,1997,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,rygar,Rygar,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1986,2,8 way,2,Tecmo,joy8way,,Tecmo,,,,#N/A
arcade,s1945,Strikers 1945 1,x,,x,x,,,,,,VERTICAL,1995,2,8 way,3,Psikyo,joy8way,,Psikyo,,,,#N/A
arcade,s1945ii,Strikers 1945 2,x,x,x,x,,,,,,VERTICAL,1997,2,8 way,2,Psikyo,joy8way,,Psikyo,,,,#N/A
arcade,s1945iii,Strikers 1945 3,x,x,x,x,x,,,,,VERTICAL,1999,2,8 way,3,Psikyo,joy8way,,Psikyo,,,,#N/A
arcade,s1945p,Strikers 1945 Plus,,,x,x,,,,,,HORIZONTAL NEOGEO,1999,2,8 way,4,Neo Geo,joy8way,,Psikyo,,,,#N/A
arcade,sailormn,Pretty Soldier Sailor Moon,,,x,x,,,,,,HORIZONTAL,1995,2,8 way,3,Other,joy8way,,Gazelle / Banpresto license,,,,#N/A
arcade,salamand,Salamander 1,x,x,x,x,x,x,x,x,,HORIZONTAL,1986,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,salmndr2,Salamander 2,x,,x,x,x,,,,,HORIZONTAL,1996,4,8 way,3,Konami,joy8way,,Konami,,,,#N/A
arcade,samsh5sp,Samurai Shodown V Special,x,x,x,x,x,x,MINI,x,x,HORIZONTAL NEOGEO,2004,2,8 way,4,Neo Geo,joy8way,,Yuki Enterprise / SNK Playmore,,,,#N/A
arcade,samsho,Samurai Shodown 1,x,,x,x,,,,,,HORIZONTAL NEOGEO,1993,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,samsho2,Samurai Shodown 2,x,x,x,x,x,x,MINI,x,x,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,samsho3,Samurai Shodown 3,x,,x,x,,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,samsho4,Samurai Shodown 4: Amakusa's Revenge,x,x,x,x,x,x,x,x,x,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,samsho5,Samurai Shodown 5,x,,x,x,,,,,,HORIZONTAL NEOGEO,2003,2,8 way,4,Neo Geo,joy8way,,Yuki Enterprise / SNK Playmore,,,,#N/A
arcade,savagere,Savage Reign,x,,x,x,x,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,sbagman,Super Bagman,x,x,x,x,,,,,,VERTICAL,1984,2,4 way,2,Other,joy4way,,Valadon Automation,,,,#N/A
arcade,sbomber,Space Bomber,x,,x,x,,,,,,VERTICAL,1998,2,8 way,2,Psikyo,joy8way,,Psikyo,,,,#N/A
arcade,sci,Special Criminal Investigation,x,x,x,x,x,x,x,x,x,HORIZONTAL,1989,1,analog,5,Taito,,paddle,Taito,,,,#N/A
arcade,scobra,Super Cobra,x,x,x,x,,,,,,VERTICAL,1981,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,scontra,Super Contra,x,x,x,x,x,x,x,x,x,VERTICAL,1988,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,scramble,Scramble,x,x,x,x,x,x,x,x,x,VERTICAL,1981,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,scross,Stadium Cross,,x,x,x,,,,,,HORIZONTAL,1992,2,8 way,3,SEGA,joy8way,pedal / paddle,SEGA,,,,#N/A
arcade,sdodgeb,Super Dodge Ball,,x,x,x,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,Technos Japan / Tecmo,,,,#N/A
arcade,searchar,SAR: Search & Rescue,x,x,x,x,,,,,,VERTICAL,1989,2,8 way,2,SNK,joy8way,positional,SNK,,,,#N/A
arcade,sectionz,Section Z,,x,x,x,,,,,,HORIZONTAL,1985,2,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,seganinj,Sega Ninja,x,x,x,x,x,x,x,x,,HORIZONTAL,1985,2,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,sengoku3,Sengoku 3,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,2001,2,8 way,4,Neo Geo,joy8way,,Noise Factory / SNK,,,,#N/A
arcade,sexyparo,Sexy Parodius,,x,x,x,,,,,,HORIZONTAL,1996,4,8 way,3,Konami,joy8way,,Konami,,,,#N/A
arcade,sf,Street Fighter 1,x,x,x,x,x,x,x,x,,HORIZONTAL,1987,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sf2,Street Fighter 2 1st : The World Warrior,x,x,x,x,x,x,x,x,,HORIZONTAL,1991,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sf2ce,Street Fighter 2 2nd : Champion Edition,x,x,x,x,x,x,x,x,x,HORIZONTAL,1992,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sf2hf,Street Fighter 2 3rd : Hyper Fighting,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1992,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfa,Street Fighter 2 Alpha 1: Warriors' Dreams,x,,x,x,x,,,,,HORIZONTAL,1995,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfa2,Street Fighter 2 Alpha 2,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1996,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,Street Fighter Alpha 3 MAX,Street Fighter 2 Alpha 3 MAX,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1998,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfa3,Street Fighter 2 Alpha 3,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1998,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfa3ud,Street Fighter 2 Alpha 3 Mix,x,x,x,x,x,x,x,x,,HORIZONTAL,1998,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfex2,Street Fighter 5 EX2,,x,x,x,,,,,,HORIZONTAL,1998,2,8 way,6,Capcom,joy8way,,Capcom / Arika,,,,#N/A
arcade,sfiii2n,Street Fighter 3 III 2nd Impact: Giant Attack,x,x,x,x,x,,,,,HORIZONTAL,1997,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfiii3n,Street Fighter 3 III 3rd Strike: Fight for the Future,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1999,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfiiin,Street Fighter 3 III 1st: New Generation,x,x,x,x,x,,,,,HORIZONTAL,1997,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sfposeid,Sea Fighter Poseidon,x,x,x,x,x,,x,,,HORIZONTAL,1984,2,8 way,2,Taito,joy8way,,Taito,,,,#N/A
arcade,sftm,Street Fighter 4 The Movie,,x,x,x,,,,,,HORIZONTAL,1995,2,8 way,6,Capcom,joy8way,,Capcom / Incredible Technologies,,,,#N/A
arcade,sgemf,Super Gem Fighter Mini Mix,x,x,x,x,x,x,x,x,,HORIZONTAL,1997,2,8 way,3,Capcom,joy8way,,Capcom,,,,#N/A
arcade,shadfrce,Shadow Force,x,x,x,x,x,,,,,HORIZONTAL,1993,2,8 way,6,Technos,joy8way,,Technos Japan / Technos Japan Corp.,,,,#N/A
arcade,shangon,Super Hang-On (sitdown/upright),x,x,x,x,x,x,x,x,,HORIZONTAL,1987,1,analog,1,SEGA,,pedal / paddle,SEGA / bootleg,,,,#N/A
arcade,sharrier,Space Harrier,x,x,x,x,x,x,x,x,x,HORIZONTAL,1985,1,analog,3,SEGA,,stick,SEGA,,,,#N/A
arcade,shdancer,Shadow Dancer,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1989,2,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,shienryu,Shienryu,x,x,x,x,,,,,,VERTICAL,1997,4,8 way,4,Other,joy8way,,Warashi,,,,#N/A
arcade,shinobi,"Shinobi (set 6, System 16A)",x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,shocktr2,Shock Troopers 2 : 2nd Squad,x,x,x,x,x,x,x,x,,HORIZONTAL NEOGEO,1998,2,8 way,4,Neo Geo,joy8way,,Saurus / SNK,,,,#N/A
arcade,shocktro,Shock Troopers 1,x,x,x,x,x,x,x,x,,HORIZONTAL NEOGEO,1997,2,8 way,4,Neo Geo,joy8way,,Saurus / SNK,,,,#N/A
arcade,shollow,Satan's Hollow,x,x,x,x,,,,,,VERTICAL,1981,2,4 way,2,Midway,joy2way,,Bally Midway / Arcade Engineering,,,,#N/A
arcade,sidearms,Side Arms: Hyper Dyne,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1986,2,8 way,3,Capcom,joy8way,,Capcom,,,,#N/A
arcade,sidepckt,Side Pocket,x,x,x,x,x,,,,,HORIZONTAL,1986,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,silentd,Silent Dragon,,x,x,x,,,,,,HORIZONTAL,1992,4,8 way,3,Taito,joy8way,,Taito,,,,#N/A
arcade,silkworm,Silk Worm,x,x,x,x,x,x,x,x,x,HORIZONTAL,1988,2,8 way,3,Tecmo,joy8way,,Tecmo,,,,#N/A
arcade,simpsons2p,"Simpsons, The",x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1991,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,sinistar,Sinistar,x,x,x,x,x,x,x,x,,VERTICAL,1982,1,analog,2,Williams,,stick,Williams,,,,#N/A
arcade,slammast,Saturday Night Slam Masters,x,x,x,x,x,x,x,x,,HORIZONTAL,1993,4,8 way,3,Capcom,joy8way,,Capcom,,,,#N/A
arcade,slapfigh,Slap Fight,x,x,x,x,,,,,,VERTICAL,1986,2,8 way,2,Toaplan,joy8way,,Toaplan / Taito,,,,#N/A
arcade,slyspy,Sly Spy,x,x,x,x,x,x,x,x,x,HORIZONTAL,1989,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,smashtv,Smash T.V.,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1990,2,twin stick,0,Williams,doublejoy8way,,Williams,,,,#N/A
arcade,smgp,"Super Monaco GP (World, Rev B)",x,x,x,x,x,,,,,HORIZONTAL,1989,1,analog,2,SEGA,,pedal / paddle,SEGA,,,,#N/A
arcade,snowbro2,Snow Bros. 2: With New Elves,,x,x,x,,,,,,HORIZONTAL,1994,4,8 way,2,Toaplan,joy8way,,Hanafram / Toaplan,,,,#N/A
arcade,snowbros,Snow Bros. 1: Nick & Tom,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1990,2,8 way,3,Toaplan,joy8way,,Toaplan,,,,#N/A
arcade,socbrawl,Soccer Brawl,,x,x,x,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,sokyugrt,Soukyugurentai,,x,x,x,,,,,,HORIZONTAL,1996,4,8 way,4,Raizing,joy8way,,Raizing / Eighting,,,,#N/A
arcade,soldivid,Sol Divide: The Sword Of Darkness,,x,x,x,,,,,,HORIZONTAL,1997,2,8 way,3,Psikyo,joy8way,,Psikyo,,,,#N/A
arcade,solomon,Solomon's Key,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1986,2,8 way,2,Tecmo,joy8way,,Tecmo,,,,#N/A
arcade,sonicwi2,Aero Fighters 2,x,x,x,x,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,Video System Co. / Video System,,,,#N/A
arcade,sonicwi3,Aero Fighters 3,x,x,x,x,,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,Video System Co. / Video System,,,,#N/A
arcade,sonson,Son Son,x,x,x,x,x,x,x,x,,HORIZONTAL,1984,2,4 way,1,Capcom,joy4way,,Capcom,,,,#N/A
arcade,soulclbr,Soul Calibur,x,x,x,x,x,x,x,x,,HORIZONTAL,1998,2,8 way,6,Namco,joy8way,,Namco,,,,#N/A
arcade,spang,Super Pang,x,x,x,x,x,x,x,x,,HORIZONTAL,1990,2,4 way,2,Capcom,joy4way,,Mitchell / Capcom,,,,#N/A
arcade,spelunk2,Spelunker 2: 23 no Kagi,x,x,x,x,x,,,,,HORIZONTAL,1986,2,8 way,2,Irem,joy8way,,Irem / licensed from Broderbund,,,,#N/A
arcade,spf2t,Super Puzzle Fighter II Turbo,x,x,x,x,x,x,x,x,,HORIZONTAL,1996,2,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,spidman,Spider-Man: The Videogame,x,x,x,x,x,,,,,HORIZONTAL,1991,4,8 way,2,SEGA,joy8way,,SEGA,,,,#N/A
arcade,spinmast,Spin Master,x,,x,x,x,,,,,HORIZONTAL NEOGEO,1993,2,8 way,4,Neo Geo,joy8way,,Data East,,,,#N/A
arcade,splatter,"Splatter House (World, new version",x,x,x,x,,,,,,HORIZONTAL,1988,2,8 way,3,Namco,joy8way,,Namco,,,,#N/A
arcade,spnchout,Super Punch-Out!!,x,x,x,x,x,,x,,,VERTICAL,1984,1,4 way,4,Nintendo,joy4way,,Nintendo,,,,#N/A
arcade,spy,S.P.Y.: Special Project Y,x,,x,x,x,,,,,HORIZONTAL,1989,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,spyhunt,Spy Hunter,x,x,x,x,x,,,,,VERTICAL,1983,1,analog,5,Midway,,pedal / paddle,Bally Midway,,,,#N/A
arcade,sqix,Super Qix,x,,x,x,x,,,,,VERTICAL,1987,2,4 way,2,Taito,joy4way,,Kaneko / Taito,,,,#N/A
arcade,srumbler,"Speed Rumbler, The",x,x,x,x,x,x,MINI,x,x,VERTICAL,1986,2,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,ssf2,Super Street Fighter 2 New Challengers,x,,x,x,x,,,,,HORIZONTAL,1993,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
arcade,ssf2t,Super Street Fighter 2 Turbo,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1994,2,8 way,6,Capcom,joy8way,,Capcom,,,,#N/A
